CID,Annotator,Sentence,Sno.,Preprocessed,TripletOutput
4245,Magda,"A: %uh I, I need to know more information.",198,"I, I need to know more information.","[('AUTHOR', 'know', 'unknown')]"
4245,Magda,B: {laugh},199,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,A: Just hearing all right isn’t enough okay?,200,Just hearing all right isn’t enough okay?,"[('AUTHOR', 'hearing', 'true')]"
4245,Magda,A: {laugh},201,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,B: aw all right.,202,aw all right.,"[('AUTHOR', 'aw', 'true')]"
4245,Magda,B: It’s like catchy man.,203,It’s like catchy man.,"[('AUTHOR', 'It', 'true')]"
4245,Magda,A: It is. And you know,204,It is. And you know,"[('AUTHOR', 'know', 'true')]"
4245,Magda,B: I can’t stop myself from saying it yet [distortion].,205,I can’t stop myself from saying it yet,"[('AUTHOR', 'saying', 'true')]"
4245,Magda,A: yeah. So %um but anyway I want to come visit you.,206,yeah. So but anyway I want to come visit you.,"[('AUTHOR', 'want', 'true'), ('AUTHOR', 'come', 'unknown'), ('AUTHOR', 'visit', 'unknown')]"
4245,Magda,B: When?,207,When?,"[('AUTHOR', 'when', 'true')]"
4245,Magda,A: Next summer.,208,Next summer.,"[('AUTHOR', 'season', 'season')]"
4245,Magda,B: oh I’d love to {breath} except {breath} you have,209,oh I’d love to except you have,"[('AUTHOR', 'have', 'unknown')]"
4245,Magda,A: You’re going to be gone. What?,210,You’re going to be gone. What?,"[('AUTHOR', 'gone', 'true')]"
4248,Magda,B: yeah so yeah I’ve been there like {laugh} five or six times,1,yeah so yeah I’ve been there like five or six times,"[('AUTHOR', 'been', 'true')]"
4248,Magda,A: Wow.,2,Wow.,"[('AUTHOR', 'wow', 'wow')]"
4248,Magda,"B: because I drove across the country three times. I’ve been there wait, yes three times I think.",3,"because I drove across the country three times. I’ve been there wait, yes three times I think.","[('AUTHOR', 'drived', 'true'), ('AUTHOR', 'been', 'true'), ('AUTHOR', 'think', 'true')]"
4248,Magda,A: Well this is our second time.,4,Well this is our second time.,"[('AUTHOR', 'time', 'true')]"
4248,Magda,B: yeah.,5,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4248,Magda,A: The first time we had been it was like twelve years ago &Kevin and I went on like a six week camping trip you know we hit --,6,The first time we had been it was like twelve years ago Kevin and I went on like a six week camping trip you know we hit-,"[('AUTHOR', 'been', 'true'), ('AUTHOR', 'went', 'true'), ('AUTHOR', 'hit', 'true')]"
4248,Magda,B: %uh that must have been fun.,7,that must have been fun.,"[('AUTHOR', 'fun', 'unknown')]"
4248,Magda,"A: -- You know &Washington, we hit you know from &Idaho to &Washington we hit all kinds of national parks and stu- [distortion].",8,"-- You know Washington, we hit you know from Idaho to Washington we hit all kinds of national parks and","[('AUTHOR', 'know', 'true'), ('AUTHOR', 'hit', 'true')]"
4248,Magda,B: uh-huh.,9,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4248,Magda,B: oh yeah it’s so beautiful %huh.,10,oh yeah it’s so beautiful,"[('AUTHOR', 'beautiful', 'true')]"
4248,Magda,A: And you know,11,And you know,"[('AUTHOR', 'know', 'true')]"
4248,Magda,A: You know we spent a l- you know couple days in &Yellowstone and then,12,You know we spent a you know couple days in Yellowstone and then,"[('AUTHOR', 'spent', 'true')]"
4248,Magda,A: you know a very little time in &Grand &Tetons but we spent a lot of time in the national forests right around there because we (( )) [distorted] you know we were really camping and really serious--,13,you know a very little time in Grand Tetons but we spent a lot of time in the national forests right around there because we you know we were really camping and really serious--,"[('AUTHOR', 'spent', 'true'), ('AUTHOR', 'camping', 'true')]"
4248,Magda,B: uh-huh.,14,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4248,Magda,B: mhm.,15,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4248,Magda,"A: And like we went into &Jackson, the town and we were like --",16,"And like we went into Jackson, the town and we were like-","[('AUTHOR', 'went', 'true'), ('AUTHOR', 'were', 'true')]"
4248,Magda,A: -- %ah [[drawn out and in fright]] let me {laugh} out of here. You know it was like a traffic jam and all these stores and we sort of didn’t know what was coming. We were like oh my god traffic jams,17,-- let me out of here. You know it was like a traffic jam and all these stores and we sort of didn’t know what was coming. We were like oh my god traffic jams,"[('AUTHOR', 'let', 'true')]"
4248,Magda,B: {laugh},18,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,B: uh-huh.,19,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4248,Magda,A: What kind of tourist hell is this? Get us out of here [[says laughing]].,20,What kind of tourist hell is this? Get us out of here,"[('AUTHOR', 'get', 'unknown'), ('AUTHOR', 'hell', 'true')]"
4248,Magda,B: {laugh},21,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: of course then we were like you know let’s stay here a couple days. [distortion],22,of course then we were like you know let’s stay here a couple days.,"[('AUTHOR', 'like', 'true'), ('AUTHOR', 'stay', 'unknown')]"
4248,Magda,B: {inhale} And now you guys have a five year old and,23,And now you guys have a five year old and,"[('AUTHOR', 'have', 'true')]"
4248,Magda,B: {laugh} yeah.,24,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4248,Magda,A: This is kind of cute. oh look there’s the &Benneton outlet.,25,This is kind of cute. oh look there’s the Benneton outlet.,"[('AUTHOR', 'look', 'true')]"
4248,Magda,B: {sh},26,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,"B: oh you guys have really turned into yuppies, %huh? {laugh}",27,"oh you guys have really turned into yuppies,","[('AUTHOR', 'turned', 'true')]"
4248,Magda,A: Scary.,28,Scary.,"[('AUTHOR', 'scary', 'true')]"
4248,Magda,B: {laugh} {inhale} What we shouldn’t have a house in the suburbs.,29,What we shouldn’t have a house in the suburbs.,"[('AUTHOR', 'have', 'false')]"
4248,Magda,"A: Well if I’m unemployed, if I’m unemployed I can’t be a {laugh} yuppie can I?",30,"Well if I’m unemployed, if I’m unemployed I can’t be a yuppie can I?","[('AUTHOR', 'be', 'unknown')]"
4248,Magda,B: {breath},31,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: {inhale} Don’t I need to be professional?,32,Don’t I need to be professional?,"[('AUTHOR', 'need', 'unknown'), ('AUTHOR', 'be', 'unknown')]"
4248,Magda,B: %um. yeah I guess.,33,. yeah I guess.,"[('AUTHOR', 'guess', 'true')]"
4248,Magda,B: Well &Norm and I are worse because we live in the suburbs.,34,Well Norm and I are worse because we live in the suburbs.,"[('AUTHOR', 'worse', 'true'), ('AUTHOR', 'live', 'true')]"
4248,Magda,B: %uh so.,35,so.,"[('AUTHOR', 'so', 'true')]"
4248,Magda,A: Well really silly we’ll save that for our self respects. So are you coming or not? Are you coming or not? Are you coming or not? [[drawn-out whining]],36,Well really silly we’ll save that for our self respects. So are you coming or not? Are you coming or not? Are you coming or not?,"[('AUTHOR', 'coming', 'unknown'), ('AUTHOR', 'coming', 'unknown')]"
4248,Magda,B: I don’t know. It’s up to my husband. Hopefully he’ll finish soon and %uh --,37,I don’t know. It’s up to my husband. Hopefully he’ll finish soon and-,"[('AUTHOR', 'know', 'false'), ('AUTHOR', 'finish', 'unknown'), ('AUTHOR', 'hopeful', 'true')]"
4248,Magda,B: -- and %um,38,-- and,"[('AUTHOR', '-', 'true')]"
4248,Magda,A: I thought you said he was finished.,39,I thought you said he was finished.,"[('AUTHOR', 'thought', 'true'), ('AUTHOR', 'said', 'unknown'), ('AUTHOR', 'finished', 'unknown'), ('AUTHOR_I', 'said', 'true'), ('AUTHOR_I', 'finished', 'true')]"
4248,Magda,B: You know I mean,40,You know I mean,"[('AUTHOR', 'know', 'true')]"
4248,Magda,B: yeah he is finished.,41,yeah he is finished.,"[('AUTHOR', 'finished', 'true')]"
4248,Magda,A: I thought you said he did send it today.,42,I thought you said he did send it today.,"[('AUTHOR', 'thought', 'true'), ('AUTHOR', 'said', 'unknown'), ('AUTHOR', 'send', 'unknown'), ('AUTHOR_I', 'said', 'true'), ('AUTHOR_I', 'send', 'true')]"
4248,Magda,B: He is finished. He just has to defend.,43,He is finished. He just has to defend.,"[('AUTHOR', 'finished', 'true'), ('AUTHOR', 'defend', 'true')]"
4248,Magda,B: So I don’t know. We’ll see what happens. I’ll talk to him today. He has a job so.  If not when are you guys moving?,44,So I don’t know. We’ll see what happens. I’ll talk to him today. He has a job so. If not when are you guys moving?,"[('AUTHOR', 'know', 'false'), ('AUTHOR', 'see', 'true'), ('AUTHOR', 'happens', 'true'), ('AUTHOR', 'talk', 'true'), ('AUTHOR', 'has', 'true'), ('AUTHOR', 'moving', 'unknown')]"
4248,Magda,A: We’re not moving for a year.,45,We’re not moving for a year.,"[('AUTHOR', 'moving', 'false')]"
4248,Magda,B: oh okay. Good.,46,oh okay. Good.,"[('AUTHOR', 'ok', 'true')]"
4248,Magda,B: {breath},47,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: We won’t move till,48,We won’t move till,"[('AUTHOR', 'move', 'true')]"
4248,Magda,B: okay.,49,okay.,"[('AUTHOR', 'ok', 'ok')]"
4248,Magda,A: %mm [[drawn out]],50,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: probably June.,51,probably June.,"[('AUTHOR', 'June', 'June')]"
4248,Magda,B: okay.,52,okay.,"[('AUTHOR', 'ok', 'ok')]"
4248,Magda,A: Maybe early June.,53,Maybe early June.,"[('AUTHOR', 'early', 'June')]"
4248,Magda,B: Because if I don’t come when &Norm does his defense,54,Because if I don’t come when Norm does his defense,"[('AUTHOR', 'come', 'unknown'), ('AUTHOR', 'does', 'unknown'), ('AUTHOR', 'defense', 'unknown')]"
4248,Magda,"A: uh-huh, uh-huh.",55,"uh-huh, uh-huh.","[('AUTHOR', 'uh-huh', 'uh-huh')]"
4248,Magda,B: which I really want to come for that but you know I have,56,which I really want to come for that but you know I have,"[('AUTHOR', 'wants', 'true'), ('AUTHOR', 'come', 'unknown')]"
4248,Magda,B: I might not be able to for other reasons {inhale}.,57,I might not be able to for other reasons,"[('AUTHOR', 'able', 'unknown'), ('AUTHOR_DUMMY', 'able', 'ptrue')]"
4248,Magda,A: uh-huh.,58,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4248,Magda,B: But if I can’t come then then I’m going to stop in January. Well I’ll probably stop in January anyhow.,59,But if I can’t come then then I’m going to stop in January. Well I’ll probably stop in January anyhow.,"[('AUTHOR', 'come', 'ptrue'), ('AUTHOR', 'stop', 'ptrue')]"
4248,Magda,A: Excellent,60,Excellent,"[('AUTHOR', 'requires', 'ptrue')]"
4248,Magda,B: {inhale} Because I’m going to %uh (( )) in January with the baby to %uh --,61,Because I’m going to in January with the baby to-,"[('AUTHOR', 'going', 'true')]"
4248,Magda,B: -- see the %uh --,62,-- see the-,"[('AUTHOR', 'see', 'true')]"
4248,Magda,B: -- the it’ll come out to see the relatives.,63,-- the it’ll come out to see the relatives.,"[('AUTHOR', 'come', 'true'), ('AUTHOR', 'see', 'true')]"
4248,Magda,A: Show off <French ((le bebe))>.,64,Show offFrench le bebe>.,"[('AUTHOR', 'show', 'true')]"
4248,Magda,B: yeah. Show off <French ((le bebe))>.,65,yeah. Show offFrench le bebe>.,"[('AUTHOR', 'show', 'true')]"
4248,Magda,A: Excellent,66,Excellent,"[('AUTHOR', 'requires', 'ptrue')]"
4248,Magda,"B: Do you think ei- I mean eight weeks is not really well it’ll, it’ll be older than eight weeks it’ll be like ten weeks by then. That’s not too early to travel is it?",67,"Do you think I mean eight weeks is not really well it’ll, it’ll be older than eight weeks it’ll be like ten weeks by then. That’s not too early to travel is it?","[('AUTHOR', 'think', 'true'), ('AUTHOR', 'older', 'unknown'), ('AUTHOR', 'travel', 'unknown'), ('AUTHOR_you', 'older', 'true'), ('AUTHOR_you', 'travel', 'true')]"
4248,Magda,A: Nope.,68,Nope.,"[('AUTHOR', 'Nope', 'true')]"
4248,Magda,B: I thought it would be like much easier to travel if we went when he was ten weeks than --,69,I thought it would be like much easier to travel if we went when he was ten weeks than-,"[('AUTHOR', 'thought', 'true'), ('AUTHOR', 'travel', 'unknown'), ('AUTHOR', 'went', 'unknown'), ('AUTHOR_I', 'travel', 'ptrue'), ('AUTHOR_I', 'went', 'true')]"
4248,Magda,"A: yep, yep, yep.",70,"yep, yep, yep.","[('AUTHOR', 'yep', 'true')]"
4248,Magda,B: -- you know after that.,71,-- you know after that.,"[('AUTHOR', 'know', 'true')]"
4248,Magda,A: when they’re new infants it’s like bring along a blanket so you can nurse them. And like you could do anything. You could probably go like do skydiving or something.,72,when they’re new infants it’s like bring along a blanket so you can nurse them. And like you could do anything. You could probably go like do skydiving or something.,"[('AUTHOR', 'bring', 'true'), ('AUTHOR', 'nurse', 'true'), ('AUTHOR', 'go', 'ptrue'), ('AUTHOR', 'do', 'ptrue')]"
4248,Magda,B: yeah. I know.,73,yeah. I know.,"[('AUTHOR', 'know', 'true')]"
4248,Magda,A: And if you were nursing the baby while you were skydiving the baby would be like okay.,74,And if you were nursing the baby while you were skydiving the baby would be like okay.,"[('AUTHOR', 'nursing', 'true'), ('AUTHOR', 'skydiving', 'true')]"
4248,Magda,B: yeah.,75,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4248,Magda,A: Alright. As long as we’re nursing while we’re doing this that’s okay.,76,Alright. As long as we’re nursing while we’re doing this that’s okay.,"[('AUTHOR', 'nursing', 'true'), ('AUTHOR', 'doing', 'true')]"
4248,Magda,B: That’s what I thought too.,77,That’s what I thought too.,"[('AUTHOR', 'thought', 'true')]"
4248,Magda,B: {inhale} And they don’t need that many clothes when they’re that young. And they don’t need toys.,78,And they don’t need that many clothes when they’re that young. And they don’t need toys.,"[('AUTHOR', 'need', 'false')]"
4248,Magda,B: So.,79,So.,"[('AUTHOR', 'so', 'true')]"
4248,Magda,B: You know basically you don’t need to bring anything.,80,You know basically you don’t need to bring anything.,"[('AUTHOR', 'know', 'true'), ('AUTHOR', 'bring', 'unknown')]"
4248,Magda,B: {lipsmack} But %uh but you know your two boobs. {laugh} and %uh {sniff},81,But but you know your two boobs. and,"[('AUTHOR', 'know', 'true')]"
4248,Magda,A: {laugh},82,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,B: And since I can’t really go anywhere without those anyhow {laugh},83,And since I can’t really go anywhere without those anyhow,"[('AUTHOR', 'go', 'unknown'), ('AUTHOR', 'go', 'unknown')]"
4248,Magda,A: They’re hard to forget,84,They’re hard to forget,"[('AUTHOR', 'forget', 'unknown')]"
4248,Magda,B: {laugh} yeah.,85,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4248,Magda,A: Hard to leave behind.,86,Hard to leave behind.,"[('AUTHOR', 'leave', 'unknown')]"
4248,Magda,"B: yeah. So I mean in then you know then we can just use disposables if we’re travelling, so",87,"yeah. So I mean in then you know then we can just use disposables if we’re travelling, so","[('AUTHOR', 'use', 'unknown'), ('AUTHOR', 'travelling', 'true')]"
4248,Magda,A: oh definitely.,88,oh definitely.,"[('AUTHOR', 'oh', 'true')]"
4248,Magda,A: Don’t we did one time we were like we were travelling in the car we were like oh we can just bring a little mini diaper pail and all.,89,Don’t we did one time we were like we were travelling in the car we were like oh we can just bring a little mini diaper pail and all.,"[('AUTHOR', 'does', 'true'), ('AUTHOR', 'travelling', 'true'), ('AUTHOR', 'like', 'true'), ('AUTHOR', 'bring', 'unknown')]"
4248,Magda,B: yeah.,90,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4248,Magda,A: That was after one time I went never again.,91,That was after one time I went never again.,"[('AUTHOR', 'went', 'true')]"
4248,Magda,B: {laugh},92,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: Disposables for travelling.,93,Disposables for travelling.,"[('AUTHOR', 'traveling', 'true')]"
4248,Magda,B: And did you %um,94,And did you,"[('AUTHOR', 'did', '')]"
4248,Magda,A: ((Absolutely)) [distortion].,95,Absolutely,"[('AUTHOR', 'False', 'False')]"
4248,Magda,"B: Every now did you supplement nursing with bottles at all or didn’t, didn’t you?",96,"Every now did you supplement nursing with bottles at all or didn’t, didn’t you?","[('AUTHOR', 'supplement', 'true')]"
4248,Magda,A: No. No. Somehow like I read too many of the (( )) books so I thought it was like no formula.,97,No. No. Somehow like I read too many of the books so I thought it was like no formula.,"[('AUTHOR', 'read', 'true'), ('AUTHOR', 'thought', 'true'), ('AUTHOR', 'like', 'true'), ('AUTHOR', 'formula', 'unknown')]"
4248,Magda,A: It does make a difference like I always thought formula smells kind of disgusting {inhale},98,It does make a difference like I always thought formula smells kind of disgusting,"[('AUTHOR', 'make', 'true'), ('AUTHOR', 'thought', 'true'), ('AUTHOR', 'smells', 'unknown'), ('AUTHOR', 'disgusting', 'unknown'), ('AUTHOR_I', 'smells', 'true'), ('AUTHOR_I', 'disgusting', 'true')]"
4248,Magda,B: oh yeah.,99,oh yeah.,"[('AUTHOR', 'oh', 'true')]"
4248,Magda,A: Like when they throw up it smells disgusting and when they make their little doo-doo’s it smells grosser if they’re on formula. But if they’re totally breast milk now you’ll find this hard this believe but if they’re totally breast milk for like the first couple months --,100,Like when they throw up it smells disgusting and when they make their little doo-doo’s it smells grosser if they’re on formula. But if they’re totally breast milk now you’ll find this hard this believe but if they’re totally breast milk for like the first couple months-,"[('AUTHOR', 'smells', 'true'), ('AUTHOR', 'threw', 'true'), ('AUTHOR', 'make', 'true'), ('AUTHOR', 'find', 'true'), ('AUTHOR', 'believe', 'true')]"
4248,Magda,B: mhm.,101,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4248,Magda,A: they don’t their number twos don’t smell at all.,102,they don’t their number twos don’t smell at all.,"[('AUTHOR', 'smell', 'false')]"
4248,Magda,B: oh okay.,103,oh okay.,"[('AUTHOR', 'ok', 'ok')]"
4248,Magda,A: They don’t smell like anything. It’s like {sniffing},104,They don’t smell like anything. It’s like,"[('AUTHOR', 'smell', 'false')]"
4248,Magda,A: it looks like shit but it doesn’t smell like anything {laugh}.,105,it looks like shit but it doesn’t smell like anything,"[('AUTHOR', 'looks', 'true'), ('AUTHOR', 'smell', 'false')]"
4248,Magda,B: oh okay.,106,oh okay.,"[('AUTHOR', 'ok', 'ok')]"
4248,Magda,B: {inhale}And did you pump or not?,107,And did you pump or not?,"[('AUTHOR', 'pump', 'unknown')]"
4248,Magda,A: yeah I pumped. What joy that was.,108,yeah I pumped. What joy that was.,"[('AUTHOR', 'pumped', 'true')]"
4248,Magda,B: Did you use a manual or a %uh did you get one of those little battery ones?,109,Did you use a manual or a did you get one of those little battery ones?,"[('AUTHOR', 'use', 'unknown'), ('AUTHOR', 'get', 'unknown')]"
4248,Magda,A: Batter-,110,Batter-,"[('AUTHOR', 'Batter-', 'Batter-')]"
4248,Magda,A: Battery operated deal.,111,Battery operated deal.,"[('AUTHOR', 'operated', 'true')]"
4248,Magda,B: yeah. I think so too.,112,yeah. I think so too.,"[('AUTHOR', 'think', 'true')]"
4248,Magda,A: Now like I can tell you I can find the exact brand name of it if you want some time.,113,Now like I can tell you I can find the exact brand name of it if you want some time.,"[('AUTHOR', 'tell', 'true'), ('AUTHOR', 'find', 'unknown'), ('AUTHOR', 'want', 'unknown')]"
4248,Magda,B: {breath},114,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: But like it had like this little like nozzle attachment thing on it which was what it said you were supposed to use.,115,But like it had like this little like nozzle attachment thing on it which was what it said you were supposed to use.,"[('AUTHOR', 'had', 'true'), ('AUTHOR', 'said', 'true'), ('AUTHOR', 'use', 'unknown'), ('AUTHOR_it', 'use', 'true')]"
4248,Magda,B: mhm.,116,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4248,Magda,B: mhm.,117,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4248,Magda,A: And I used it the first time for like three seconds I was like --,118,And I used it the first time for like three seconds I was like-,"[('AUTHOR', 'used', 'true'), ('AUTHOR', 'was', 'true')]"
4248,Magda,A: -- %ah [[drawn out as if in agony]] get {laugh} this thing off me.,119,-- get this thing off me.,"[('AUTHOR', 'get', 'unknown')]"
4248,Magda,B: {laugh},120,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: That really hurt.,121,That really hurt.,"[('AUTHOR', 'hurt', 'true')]"
4248,Magda,B: {laugh},122,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: {inhale} Don’t ever do that again.,123,Don’t ever do that again.,"[('AUTHOR', 'do', 'unknown')]"
4248,Magda,A: And I forget what it said it was for I think it said it was for if you had small breasts or something. I don’t know what,124,And I forget what it said it was for I think it said it was for if you had small breasts or something. I don’t know what,"[('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown'), ('AUTHOR', 'for', 'unknown')]"
4248,Magda,B: oh okay.,125,oh okay.,"[('AUTHOR', 'ok', 'ok')]"
4248,Magda,A: so like I took that thing and I threw it away. {laugh},126,so like I took that thing and I threw it away.,"[('AUTHOR', 'took', 'true'), ('AUTHOR', 'threw', 'true')]"
4248,Magda,B: {laugh},127,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: {inhale} It was like a little part you put on top of a nozzle thing. It was just like an extra attachment and I took that and I --,128,It was like a little part you put on top of a nozzle thing. It was just like an extra attachment and I took that and I-,"[('AUTHOR', 'put', 'true'), ('AUTHOR', 'took', 'true')]"
4248,Magda,B: ((mhm)) okay [distorted].,129,mhm okay,"[('AUTHOR', 'ok', 'ok')]"
4248,Magda,A: -- threw it away,130,-- threw it away,"[('AUTHOR', 'threw', 'true')]"
4248,Magda,B: okay.,131,okay.,"[('AUTHOR', 'ok', 'ok')]"
4248,Magda,A: And then it was fine.,132,And then it was fine.,"[('AUTHOR', 'fine', 'true')]"
4248,Magda,B: okay.,133,okay.,"[('AUTHOR', 'ok', 'ok')]"
4248,Magda,A: So.,134,So.,"[('AUTHOR', 'so', 'true')]"
4248,Magda,B: yeah.,135,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4248,Magda,A: That seemed to work fine {inhale},136,That seemed to work fine,"[('AUTHOR', 'seemed', 'true'), ('AUTHOR', 'work', 'true')]"
4248,Magda,B: ye-,137,ye-,"[('AUTHOR', 'ye-', 'ye-')]"
4248,Magda,"A: You know i- if I, if you could avoid it",138,"You know if I, if you could avoid it","[('AUTHOR', 'know', 'true'), ('AUTHOR', 'avoid', 'unknown')]"
4248,Magda,A: you know,139,you know,"[('AUTHOR', 'know', 'true')]"
4248,Magda,A: if y- if it was a choice in your life to say {inhale},140,if if it was a choice in your life to say,"[('AUTHOR', 'choice', 'unknown'), ('AUTHOR', 'say', 'unknown')]"
4248,Magda,A: well for the first couple months I’ll just be home and I’ll just get a lot of rest and I’ll take it easy and if I’m not --,141,well for the first couple months I’ll just be home and I’ll just get a lot of rest and I’ll take it easy and if I’m not-,"[('AUTHOR', 'be', 'true'), ('AUTHOR', 'get', 'true'), ('AUTHOR', 'take', 'true')]"
4248,Magda,A: -- sleeping at night I’ll just sleep during the day or sleep when the baby sleeps.,142,-- sleeping at night I’ll just sleep during the day or sleep when the baby sleeps.,"[('AUTHOR', 'sleeping', 'true'), ('AUTHOR', 'sleep', 'true'), ('AUTHOR', 'sleep', 'true')]"
4248,Magda,B: yeah.,143,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4248,Magda,A: Not do this whole pumping thing I mean if I had to do it all over that’s what I would do.,144,Not do this whole pumping thing I mean if I had to do it all over that’s what I would do.,"[('AUTHOR', 'do', 'unknown'), ('AUTHOR', 'I', 'true'), ('AUTHOR', 'do', 'unknown')]"
4248,Magda,B: oh yeah because I was thinking it would be easier because then other people could feed the baby and you wouldn’t have to be so tied to it.,145,oh yeah because I was thinking it would be easier because then other people could feed the baby and you wouldn’t have to be so tied to it.,"[('AUTHOR', 'thinking', 'true'), ('AUTHOR', 'thinking', 'true'), ('AUTHOR', 'better', 'unknown'), ('AUTHOR', 'feed', 'unknown'), ('AUTHOR', 'tied', 'unknown'), ('AUTHOR_I', 'better', 'ptrue'), ('AUTHOR_I', 'feed', 'ptrue'), ('AUTHOR_I', 'tied', 'ptrue')]"
4248,Magda,A: (( )),146,,"[('AUTHOR', 'restriction', 'true')]"
4248,Magda,A: yeah. And if you want to go out to a movie or something.,147,yeah. And if you want to go out to a movie or something.,"[('AUTHOR', 'want', 'unknown'), ('AUTHOR', 'go', 'unknown')]"
4248,Magda,A: Mean that you know ((did you)),148,Mean that you know did you,"[('AUTHOR', 'know', 'unknown')]"
4248,Magda,B: Well we never go out. [[says laughing]] I mean you know what &Norm and I are like I mean.,149,Well we never go out. I mean you know what Norm and I are like I mean.,"[('AUTHOR', 'go', 'unknown'), ('AUTHOR', 'know', 'unknown'), ('AUTHOR', 'like', 'unknown'), ('AUTHOR_I', 'go', 'false'), ('AUTHOR_I', 'know', 'true'), ('AUTHOR_I', 'like', 'true')]"
